3.60000000e+02 9.9326226229928395e+01 9.3996337224364169e+01 1.0239015431363950e+02 9.7970309797230357e+01 1.0068214266262640e+02 9.3826569314802242e+01 1.0267677315164343e+02 4.00000000e+01 1.0238341549323962e+00 
4.00000000e+02 1.4608748875152588e+02 1.4053312034517998e+02 1.4761282016699809e+02 1.4388688156015760e+02 1.4828809594289416e+02 1.4011306991752076e+02 1.4876504508851082e+02 4.00000000e+01 1.0074811624302575e+00 
4.40000000e+02 1.2777498468065670e+02 1.2300656785276868e+02 1.2910623178365964e+02 1.2585142645160971e+02 1.2969854290970369e+02 1.2263320723457640e+02 1.3011427840094666e+02 4.00000000e+01 1.0010898556162788e+00 
4.80000000e+02 1.0196255976543226e+02 9.8018176930607098e+01 1.0330491316086477e+02 1.0044492188323504e+02 1.0348019764762948e+02 9.7736287094491175e+01 1.0398867362691914e+02 4.00000000e+01 9.9774524400239872e-01 
5.20000000e+02 7.8647183034313656e+01 7.5472658709535466e+01 7.9782784503378153e+01 7.7365669236058835e+01 7.9928696832568477e+01 7.5223751670356449e+01 8.0359452963868847e+01 4.00000000e+01 9.9562413575955733e-01 
5.60000000e+02 6.0289876453818181e+01 5.7726949177313834e+01 6.1348167856730086e+01 5.9208895249862763e+01 6.1370857657773598e+01 5.7508309163969727e+01 6.1802655703008938e+01 4.00000000e+01 9.9406143044823136e-01 
6.00000000e+02 4.5849282808323473e+01 4.3850275786921159e+01 4.6673907063005622e+01 4.4895257822065254e+01 4.6803307794581691e+01 4.3634290089143398e+01 4.7110301775593626e+01 4.00000000e+01 9.9268224357758061e-01 
6.40000000e+02 3.5093434984157781e+01 3.3438564782674362e+01 3.5976047465807554e+01 3.4362923887336727e+01 3.5823946080978835e+01 3.3284501086433359e+01 3.6239144919238505e+01 4.00000000e+01 9.9158674755377763e-01 
6.80000000e+02 2.6987884900095043e+01 2.5693900605812214e+01 2.7680275467276978e+01 2.6395683344906558e+01 2.7580086455283528e+01 2.5564825507160830e+01 2.7898987188254932e+01 4.00000000e+01 9.9082906106889568e-01 
7.40000000e+02 3.7260424652456713e+01 3.5364141666867049e+01 3.8177984957964057e+01 3.6375646908926775e+01 3.8145202395986651e+01 3.5167885329795659e+01 3.8535080907958040e+01 8.00000000e+01 9.8966901055094947e-01 
8.20000000e+02 2.2766575505828548e+01 2.1563555036946589e+01 2.3444629613137437e+01 2.2174346486239486e+01 2.3358804525417611e+01 2.1425682721079376e+01 2.3666849122059677e+01 8.00000000e+01 9.8794309016362947e-01 
